CitationKey,Authors,Year,Title,Publication,TheoryCategory,MethodCategory,Phenomenon,url
Alexander2025,"Alexander, C.",2025,What is 4E cognitive science?,Phenomenology and the Cognitive Sciences,4E,Review,4ECognition,NA
Amir2023,"Amir, Y. Z., Assaf, Y., Yovel, Y., & Mudrik, L.",2023,Experiencing without knowing? Empirical evidence for phenomenal consciousness without access,Cognition,P-consciousness,Neuroimaging,PhenomenalConsciousness,NA
Becker2000,"Becker, M.W., Pashler, H., & Anstis, S.M.",2000,The role of iconic memory in change-detection tasks,Perception,MemoryModels,Psychophysics,ChangeDetection,http://anstislab.ucsd.edu/files/2012/11/2000-Iconic-memory.pdf
Block1995,"Block, N.",1995,On a Confusion About a Function of Consciousness,Behavioral and Brain Sciences,AccessVsPhenomenal,ConceptualAnalysis,AccessConsciousness,NA
Block2005,"Block, N.",2005,Two neural correlates of consciousness,Trends in cognitive sciences,NCC,ConceptualAnalysis,NeuralCorrelates,NA
Block2007,"Block, N.",2007,"Consciousness, accessibility, and the mesh between psychology and neuroscience",Behavioral and Brain Sciences,AccessVsPhenomenal,ConceptualAnalysis,AccessConsciousness,NA
Blum2022,"Blum, L., & Blum, M.",2022,A theory of consciousness from a theoretical computer science perspective: Insights from the Conscious Turing Machine,Proceedings of the National Academy of Sciences,Computational,ComputationalModeling,MachineConsciousness,NA
Bridgeman2011,"Bridgeman, B., & Tseng, P.",2011,Embodied cognition and the perception–action link,Physics of Life Reviews,Embodied,ConceptualAnalysis,PerceptionAction,https://www.academia.edu/download/51132155/Embodied_cognition_and_the_perception-ac20161231-15005-rdybp0.pdf
Busch2013,"Busch, N.A.",2013,The fate of object memory traces under change detection and change blindness,Brain Research,MemoryModels,Neuroimaging,ChangeBlindness,NA
Ciaunica2021a,"Ciaunica, A., Constant, A., Preissl, H., & Fotopoulou, K.",2021,The first prior: From co-embodiment to co-homeostasis in early life,Consciousness and Cognition,Embodied,ConceptualAnalysis,Intersubjectivity,NA
Ciaunica2021b,"Ciaunica, A., Safron, A., & Delafield-Butt, J.",2021,Back to square one: the bodily roots of conscious experiences in early life,Neuroscience of consciousness,Embodied,ConceptualAnalysis,Developmental,NA
Clark1998,"Clark, A., & Chalmers, D.",1998,The extended mind,Analysis,ExtendedMind,ConceptualAnalysis,ExtendedCognition,NA
Crick1998,"Crick, F., & Koch, C.",1998,Consciousness and neuroscience,Cerebral cortex,NCC,Neuroscience,NeuralCorrelates,NA
Farkas2011,"Farkas, K.",2011,Two Versions of the Extended Mind Thesis,Philosophia,ExtendedMind,ConceptualAnalysis,ExtendedCognition,NA
Fink2018,"Fink, S. B.",2018,Introspective disputes deflated: the case for phenomenal variation,Philosophical Studies,Phenomenology,ConceptualAnalysis,PhenomenalVariation,NA
Fink2023,"Fink, S. B., & Kob, L.",2023,Can structuralist theories be general theories of consciousness?,Conscious and Unconscious Mentality,Structuralist,ConceptualAnalysis,Structuralism,NA
Fink2024,"Fink, S. B.",2024,How-tests for consciousness and direct neurophenomenal structuralism,Frontiers in Psychology,Structuralist,Phenomenology,Structuralism,NA
Friston2010,"Friston, K.",2010,The free-energy principle: a unified brain theory?,Nature Reviews Neuroscience,PredictiveProcessing,ComputationalModeling,UnifiedBrainTheory,https://www.sam-won.com/medicine/cinl/images/KFriston_FreeEnergy_BrainTheory.pdf
Gallagher2003,"Gallagher, S.",2003,Phenomenology and experimental design - Toward a phenomenologically enlightened experimental science,Journal of Consciousness Studies,Phenomenology,Methodology,ExperimentalDesign,NA
Gallagher2020,"Gallagher, S., & Zahavi, D.",2020,The phenomenological mind,Routledge,Phenomenology,Review,Phenomenology,NA
Gallese2007,"Gallese, V.",2007,Before and below ‘theory of mind’: embodied simulation and the neural correlates of social cognition,Philosophical Transactions of the Royal Society B: Biological Sciences,Embodied,Neuroscience,SocialCognition,NA
Gallese2011,"Gallese, V., & Sinigaglia, C.",2011,What is so special about embodied simulation?,Trends in cognitive sciences,Embodied,Review,EmbodiedSimulation,NA
Gibson1979,"Gibson, J.J.",1979,The Ecological Approach to Visual Perception,Houghton-Mifflin,Ecological,ConceptualAnalysis,Affordances,https://commons.trincoll.edu/wp-content/blogs.dir/1146/files/2018/10/Gibson_pictures_78.pdf
Grimes1996,"Grimes, J.",1996,On the failure to detect changes in scenes across saccades,"Vancouver Studies in Cognitive Science, 5",AttentionModels,Psychophysics,ChangeBlindness,NA
Grindrod2018,"Grindrod, P.",2018,On human consciousness: A mathematical perspective,Network neuroscience,Mathematical,ComputationalModeling,MathematicalModels,NA
Hall2010,"Hall, L., Johansson, P., Tärning, B., Sikström, S., and Deutgen, T.",2010,Magic at the marketplace: Choice blindness for the taste of jam and the smell of tea,Cognition,AttentionModels,Psychophysics,ChoiceBlindness,NA
Heras-Escribano2015,"Heras-Escribano & de Pinedo, M.",2015,Are affordances normative?,Phenomenology and the Cognitive Sciences,Ecological,Phenomenology,Affordances,NA
Hollingworth2002,"Hollingworth, A., & Henderson, J.M.",2002,Accurate visual memory for previously attended objects in natural scenes,Journal of Experimental Psychology: Human Perception and Performance,MemoryModels,Psychophysics,VisualMemory,NA
Hollingworth2003,"Hollingworth, A.",2003,Failures of retrieval and comparison constrain change detection in natural scenes,Journal of Experimental Psychology: Human Perception and Performance,MemoryModels,Psychophysics,ChangeDetection,NA
Jackson1982,"Jackson, F.",1982,Epiphenomenal qualia,The Philosophical Quarterly,Philosophy,ConceptualAnalysis,Qualia,NA
Jackson1986,"Jackson, F.",1986,What Mary didn't know,Journal of Philosophy,Philosophy,ConceptualAnalysis,Qualia,NA
Jacobson2015,"Jacobson, H.",2015,"Phenomenal consciousness, representational content and cognitive access: a missing link between two debates",Phenomenology and the Cognitive Sciences,AccessVsPhenomenal,ConceptualAnalysis,CognitiveAccess,NA
Jeannerod2006,"Jeannerod, M.",2006,Consciousness of action as an embodied consciousness,Does consciousness cause behavior,Embodied,ConceptualAnalysis,ActionConsciousness,NA
Johansson2005,"Johansson, P., Hall, L., Sikström, S., & Olsson, A.",2005,Failure to detect mismatches between intention and outcome in a simple decision task,Science,AttentionModels,Psychophysics,ChoiceBlindness,NA
Kirkeby-Hinrup2023,"Kirkeby-Hinrup, A., & Overgaard, M.",2023,"Ontogenetic emergence as a criterion for theories of consciousness: Comparing GNW, SOMA, and REFCON",Philosophy and the Mind Sciences,Comparative,ConceptualAnalysis,TheoryComparison,NA
Kirkeby-Hinrup2024,"Kirkeby-Hinrup, A., Stenseke, J., & Overgaard, M. S.",2024,Evaluating the explanatory power of the Conscious Turing Machine,Consciousness and Cognition,Computational,ConceptualAnalysis,MachineConsciousness,NA
Kleiner2023,"Kleiner, J.",2023,Mathematical approaches in the scientific study of consciousness,Journal of Consciousness Studies,Mathematical,Review,MathematicalModels,NA
Kleiner2024,"Kleiner, J.",2024,Towards a structural turn in consciousness science,Consciousness and Cognition,Structuralist,Review,Structuralism,NA
Laloyaux2006,"Laloyaux, C., Destrebecqz, A., & Cleeremans, A.",2006,Implicit change identification: A replication of Fernandez-Duque and Thornton (2003),Journal of Experimental Psychology: Human Perception and Performance,ImplicitProcessing,Psychophysics,ChangeDetection,NA
Lamme2005,"Lamme, V. A. F.",2005,Can neuroscience reveal the true nature of consciousness,Unpublished article,RecurrentProcessing,ConceptualAnalysis,Neurophilosophy,NA
Lamme2010,"Lamme, V. A. F.",2010,How neuroscience will change our view on consciousness,Cognitive Neuroscience,RecurrentProcessing,Neuroscience,Neurophilosophy,NA
Lamme2018,"Lamme, V. A. F.",2018,"Challenges for theories of consciousness: seeing or knowing, the missing ingredient and how to deal with panpsychism",Philosophical Transactions of the Royal Society B: Biological Sciences,RecurrentProcessing,ConceptualAnalysis,Panpsychism,NA
Landman2003,"Landman, R., Spekreijse, H., & Lamme, V.A.F.",2003,Large capacity storage of integrated objects before change blindness,Vision Research,RecurrentProcessing,Neuroimaging,ChangeBlindness,NA
Mark2010,"Mark, J. T., Marion, B. B., & Hoffman, D. D.",2010,Natural selection and veridical perceptions,Journal of Theoretical Biology,Evolutionary,ComputationalModeling,VeridicalPerception,NA
McConkie2003,"McConkie, G.W., & Loschky, L.C.",2003,Change blindness,Encyclopedia of Cognitive Science,AttentionModels,Review,ChangeBlindness,NA
Mitroff2004,"Mitroff, S.R., Simons, D.J., & Levin, D.T.",2004,Nothing compares two views: Change blindness can occur despite preserved access to the changed information,Perception & Psychophysics,MemoryModels,Psychophysics,ChangeBlindness,NA
Nagel1974,"Nagel, T.",1974,What Is It Like to Be a Bat,Philosophical Review,Philosophy,ConceptualAnalysis,Qualia,NA
ORegan1992,"O’Regan, J.K.",1992,Solving the “real” mysteries of visual perception: The world as an outside memory,Canadian Journal of Psychology,Sensorimotor,ConceptualAnalysis,ExternalMemory,NA
ORegan2005,"O’Regan, J., Myin, E., & Noë, A.",2005,Phenomenal consciousness explained (better) in terms of bodiliness and grabbiness,Phenomenology and the Cognitive sciences,Sensorimotor,ConceptualAnalysis,PhenomenalConsciousness,NA
ORegan2006,"O’Regan, J.K.",2006,Change blindness,Encyclopedia of Cognitive Science,AttentionModels,Review,ChangeBlindness,NA
Overgaard2018,"Overgaard, M.",2018,Phenomenal consciousness and cognitive access,Philosophical Transactions of the Royal Society B: Biological Sciences,AccessVsPhenomenal,ConceptualAnalysis,CognitiveAccess,NA
Pitt2004,"Pitt, D.",2004,"The phenomenology of cognition, or, What is it like to think that P?",Philosophy and Phenomenological Research,Phenomenology,ConceptualAnalysis,CognitivePhenomenology,NA
Prinz2009,"Prinz, J.",2009,Is consciousness embodied,The Cambridge handbook of situated cognition,Embodied,ConceptualAnalysis,Embodiment,NA
Rao1999,"Rao, R.P., & Ballard, D.H.",1999,Predictive coding in the visual cortex: A functional interpretation of some extra-classical receptive-field effects,Nature Neuroscience,PredictiveProcessing,ComputationalModeling,VisualProcessing,NA
Rensink1997,"Rensink, R.A., O'Regan, J.K., & Clark, J.A.",1997,To see or not to see: The need for attention to perceive changes in scenes,Psychological Science,AttentionModels,Psychophysics,ChangeDetection,NA
Ryle2009,"Ryle, G., & Tanney, J.",2009,The concept of mind,Routledge,Philosophy,ConceptualAnalysis,Mind,NA
Searle1980,"Searle, J. R.",1980,"Minds, brains, and programs",Behavioral and Brain Sciences,Philosophy,ConceptualAnalysis,ArtificialIntelligence,NA
Seth2008,"Seth, A., Dienes, Z., Cleeremans, A., Overgaard, M., & Pessoa, L.",2008,Measuring consciousness: relating behavioural and neurophysiological approaches,Trends in cognitive sciences,Methodology,Review,Measurement,NA
Shepherd2015,"Shepherd, J.",2015,Scientiﬁc challenges to free will and moral responsibility,Philosophy Compass,Philosophy,ConceptualAnalysis,FreeWill,NA
Shoemaker1982,"Shoemaker, S.",1982,The Inverted Spectrum,Journal of Philosophy,Philosophy,ConceptualAnalysis,Qualia,NA
Silverman2006,"Silverman, M.E., & Mack, A.",2006,Change blindness and priming: When it does and does not occur,Consciousness and Cognition,AttentionModels,Psychophysics,ChangeBlindness,NA
Simon1956,"Simon, H.A.",1956,Rational choice and the structure of the environment,Psychological Review,BoundedRationality,ConceptualAnalysis,DecisionMaking,NA
Simons1999,"Simons, D. J., & Chabris, C. F.",1999,Gorillas in our midst: Sustained inattentional blindness for dynamic events,Perception,AttentionModels,Psychophysics,InattentionalBlindness,NA
Simons2000,"Simons, D. J.",2000,Attentional capture and inattentional blindness,Trends in cognitive sciences,AttentionModels,Review,InattentionalBlindness,NA
Simons2005,"Simons, D.J., & Rensink, R.A.",2005,"Change blindness: past, present, and future",Trends in Cognitive Sciences,AttentionModels,Review,ChangeBlindness,NA
Singh2013,"Singh M., Hoffman D.D.",2013,Natural Selection and Shape Perception,Shape Perception in Human and Computer Vision,Evolutionary,ComputationalModeling,ShapePerception,NA
Stevenson2014,"Stevenson, R. J., & Mahmut, M.",2014,Evidence that phenomenal olfactory content exceeds what can later be accessed,Consciousness and Cognition,AccessVsPhenomenal,Psychophysics,Olfaction,NA
Vilarroya2012,"Vilarroya, O.",2012,A satisficing and bricoleur approach to sensorimotor cognition,Biosystems,Embodied,ConceptualAnalysis,SensorimotorCognition,NA
White1985,"White, N. P.",1985,Shoemaker and So-Called Qualia of Experience,Philosophical Studies,Philosophy,ConceptualAnalysis,Qualia,NA
Whyte2022,"Whyte, C. J., Hohwy, J., & Smith, R.",2022,An active inference model of conscious access: How cognitive action selection reconciles the results of report and no-report paradigms,Current Research in Neurobiology,PredictiveProcessing,ComputationalModeling,AccessConsciousness,NA
Wiese2021,"Wiese, W., & Friston, K. J.",2021,Examining the continuity between life and mind: Is there a continuity between autopoietic intentionality and representationality?,Philosophies,PredictiveProcessing,ConceptualAnalysis,Intentionality,NA
Wiese2024,"Wiese, W.",2024,Artificial consciousness: a perspective from the free energy principle,Philosophical Studies,PredictiveProcessing,ConceptualAnalysis,ArtificialConsciousness,NA
